Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,0.5151008058005268,0.494130811029748,0.7351728230604355,0.7336141102942649
2,0.4958576729625218,0.4932842788819078,0.7345192904789567,0.7325574407563951
3,0.49227504591328985,0.48973679422009286,0.7373387452174436,0.735537148694938
4,0.49033208863754446,0.4884590026514239,0.737723102501953,0.7359578133450853
5,0.48896193226375095,0.4871749619540609,0.7370820897017287,0.7348260251196891
6,0.48817077186796276,0.4913207215640611,0.7343152180445103,0.7327227018689529
7,0.48733915912830633,0.4863414453706982,0.7387547324773142,0.7369994591454498
8,0.48649564342609963,0.4866758241050435,0.7377105827206987,0.7352867530698504
9,0.48603225705338077,0.4854047137900869,0.7381425151739749,0.7363033593077062
10,0.48526897297721056,0.4832631350357595,0.7404661865747881,0.7389625608461369
11,0.4846817691497215,0.4879964156526778,0.7367327878047315,0.735617275294966
12,0.48379877547141664,0.48180500508914076,0.741502824462651,0.7402796418340979
13,0.4826795348141601,0.4854477184481619,0.7400617976402716,0.739283067246249
14,0.4815388542368699,0.47929475241664393,0.7435047374852266,0.7424630916848621
15,0.4808576864258811,0.4776874809382051,0.7438214879509625,0.7434997295727249
16,0.4797263128307203,0.4766636588220707,0.7446252579074938,0.7438102201478336
17,0.4787615579259584,0.47926339590024836,0.7438340077322169,0.742443060034855
18,0.4777527740762673,0.4740574053333622,0.7467385969832335,0.7454277758858997
19,0.4765354769893885,0.47200656232585325,0.7475248392460087,0.7462691051861942
20,0.47541625233802254,0.47213742232951206,0.7486879269245408,0.7476212415616674
21,0.47400112282159784,0.4682391798865664,0.7517327377256064,0.75048576751267
22,0.47235014064388253,0.4673044408283011,0.7530610865166963,0.7515524528755434
23,0.4706774050865472,0.4682910519716189,0.7538823841669838,0.7532701668636446
24,0.46924510475620695,0.46172046983035,0.7577109332745738,0.7567406502273593
25,0.46684833581586915,0.4609286790832954,0.7591406922938242,0.7579926283527975
26,0.4651446479405757,0.45797076425403643,0.7611350934476473,0.7603213076661125
27,0.4631784361862716,0.4546047800852295,0.763399921876565,0.7620690691292241
28,0.4617835088284676,0.45056179478304553,0.7669680595340638,0.7657148294305002
29,0.4599052225224557,0.45113091033927927,0.7662381562869334,0.7645329620800866
30,0.4588632872382078,0.45262670388077697,0.7651063680615372,0.7642074477674726
31,0.457352100119315,0.4502124000475844,0.766405921355742,0.7657348610805073
32,0.45602362620993153,0.44768357485922594,0.7689186414534965,0.7675076621061276
33,0.4551455341501139,0.449296625268323,0.7677067266280724,0.7665912141183069
34,0.45419946240847703,0.4519236535529401,0.7666776006089622,0.7654243705053986
35,0.4530893279334792,0.45085645156235166,0.7671896596622664,0.7660303279181107
36,0.45238081804058955,0.4470099066637764,0.7694256925942989,0.7682788806313976
37,0.4517606284318402,0.4503248265211486,0.7676992147593197,0.7662506760681878
38,0.4513529134385085,0.4457372076935819,0.7704109993790188,0.7691051861941868
39,0.45031438755462766,0.4460088400317701,0.7714877005668956,0.7696159932693656
40,0.4496835649714385,0.4427259145587571,0.7718720578514052,0.7708829951323091
41,0.4490727863726604,0.44047375820495505,0.7739390737365037,0.7719797279701929
42,0.44858071926656373,0.44012691583086294,0.7741782015584624,0.7722501552452875
43,0.4483517824460847,0.4468298478226677,0.7706388593978486,0.7687145690190501
44,0.44762301605358756,0.43982063089649526,0.7739353178021273,0.7727359227579575
45,0.4472748978928241,0.441595444295563,0.7728298211173654,0.7713036597824563
46,0.44664867155058224,0.4398822994623898,0.7743685022335289,0.7725005508703752
47,0.44626244878552096,0.4360364552494215,0.7760949800685082,0.774974459646241
48,0.4460133854169565,0.44209566207982864,0.7734846056769696,0.7714689208950142
49,0.44557654684508485,0.4428048535689829,0.7726908515454418,0.771248572744937
50,0.4446819099490716,0.4371822016060213,0.7766220628593177,0.7744886921335711
