Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,0.6345756417373429,0.5949125411960827,0.6574946452295095,0.6548409836510045
2,0.5939114792106551,0.5883921387380915,0.6613785483827237,0.6595179350920478
3,0.5828123436691517,0.5791961077825045,0.6683295827345932,0.6662283436813708
4,0.5766347124924148,0.5738736234100904,0.6746502453704959,0.6718406854106228
5,0.5735847142992686,0.5703794942697126,0.6776157037117371,0.6766532006615514
6,0.5712812935760099,0.5664632777341214,0.6820723639617168,0.6794322587642003
7,0.5690694490925232,0.567604864755163,0.6797948919556436,0.6779003877124963
8,0.5675153723944844,0.5677645736934855,0.6813199848168533,0.6798253938128677
9,0.5665835321597589,0.5675587212318964,0.6776021473307486,0.6752840061817097
10,0.566358576049141,0.5628340623143004,0.6838482498712144,0.6815470541984112
11,0.5650793797097218,0.5642469417886284,0.6830179215356669,0.6809641298159044
12,0.5647432469642593,0.5685712595444015,0.682231651438332,0.680164303337581
13,0.564001677191943,0.5636213203590669,0.6841939375864219,0.681262370197652
14,0.563013662993415,0.5617418765643574,0.6856071903044764,0.6833771656318629
15,0.5629912872282843,0.5616578761164687,0.6855766884472522,0.6832687145839547
16,0.5620908899433691,0.5607788341772213,0.6861799474012418,0.6835805113466908
17,0.5617996897714385,0.5602484261595602,0.6862341729251958,0.6840278719193125
18,0.5612324522768045,0.561896754436572,0.6855800775424993,0.6836482932516336
19,0.5610118867311348,0.5602869167748182,0.6864985223544723,0.6847599164926931
20,0.5608628205404562,0.5617532816367103,0.6847700837784345,0.6813301521025947
21,0.560243538074482,0.5593161538683262,0.6876880947862158,0.6854648483040967
22,0.5603377086976034,0.5594398965239703,0.6880032806441992,0.6853970663991541
23,0.5596683398279009,0.5602941622500196,0.6875220291191063,0.6848276983976358
24,0.5593702131269475,0.5590120343043942,0.6878406040723368,0.6855597429710164
25,0.5590174433818703,0.5588099080017286,0.6883489683594067,0.6861562237345118
26,0.5587924475641807,0.558454524981718,0.6881320662635902,0.6856817503999132
27,0.5581739997361502,0.560422285375977,0.6861562237345118,0.6823604370577231
28,0.5585259660022771,0.5593206560964347,0.6871526177371688,0.6857088631618903
29,0.5579014313381613,0.5593427919376389,0.6878643277390668,0.6856139684949706
30,0.5578384900404653,0.5574959166731993,0.69014179974514,0.6876609820242388
31,0.55751092597538,0.5577108320256322,0.6894673697909606,0.6859935471626495
